Tech #,Technology,Technology subcategory,Technology type,Region,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Indicator
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Austria,56093.23271348619,55154.752160181895,54231.973068646235,56513.107482185274,55567.60211882484,54637.9157474111,51932.99091455409,49303.28270513358,46747.03141663045,44262.51517430176,41848.049157979374,39501.98484415236,38841.0879266487,38191.248294931815,37552.28095257374,36924.003998271255,36306.23857406214,35698.80881440787,35101.54179612824,34514.267489173486,33936.8187082202,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Belgium,32712.262916666667,33227.7030939895,33751.264952685306,34283.07646436211,34823.26761704938,35371.970446970285,34731.67510178764,34062.4197372863,33363.45068991598,32633.99773558149,31873.27375487766,31080.474391886044,31570.20282408414,32067.647803149554,32572.930917071946,33086.175669677104,33607.50751081438,34137.053867019735,34674.94417266198,35221.30990157981,35776.28459921719,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Bulgaria,173337.92944854603,171239.5165379882,169166.5068196642,167118.59276488298,165095.4705678674,163096.84010068464,155751.65803976572,148560.4138355937,141520.45683172182,134629.17798885243,127884.00926567189,121282.42300857752,119814.18923496203,118363.72976334768,116930.82941968163,115515.27563478811,114116.85841283415,112735.37030017686,111370.60635458794,110022.36411485072,108690.44357072517,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Croatia,43319.00034739109,43803.12026316488,44292.65055523935,45845.283301552714,46357.636183950424,46875.714965659834,45819.59751632987,44734.019778712405,43618.455179443125,42472.36905498814,41295.21853658444,40086.45243361897,40534.44638131408,40987.44697252556,41445.510159972066,41908.692521682664,42377.05126798528,42850.644248572935,43329.52995964915,43813.76755115319,44303.416834065916,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Cyprus,4759.355947136563,4814.473674172214,4870.22971527122,4546.447220487195,4599.099268298743,4652.361075336406,4549.365046401384,4443.35947548663,4334.288469648668,4222.095244993418,4106.722113536386,3988.1104698779736,4034.296463678038,4081.0173338410855,4128.279274728222,4176.088552436963,4224.451505632008,4273.374546385632,4322.8641610278155,4372.92691100622,4423.56943375611,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Czechia,118756.42891732966,118893.44632418401,119030.6218173832,123247.14862827856,123389.34728532132,123531.71000667136,119551.76241556686,115562.46650636847,111563.8060055215,107555.76461436375,103538.32600908933,99511.47384071199,99626.28702785655,99741.2326828205,99856.310958441,99971.52200773155,100086.86598388222,100202.34304025983,100317.95333040811,100433.69700804792,100549.57422707761,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Denmark,78772.82272849826,79642.59174293917,80521.96429972221,81411.04643622511,82309.94536063577,83218.7694648799,81333.0407264346,79395.52392597005,77405.30532667896,75361.45732744096,73263.0382680551,71109.09223186129,71894.24227379216,72688.06153887013,73490.64574820064,74302.09167979241,75122.49718022718,75951.96117645832,76790.58368773978,77638.46583768673,78495.70986646926,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Estonia,31290.52594547054,31572.140678979773,31856.28994509059,32960.211017740425,33256.85291690009,33556.164593152185,32729.564405340865,31885.3673648169,31023.323682846665,30143.180499844413,29244.681850329824,28327.568627503486,28582.516745151013,28839.759395857363,29099.317230420074,29361.211085493855,29625.461985263293,29892.091143130667,30161.119963418834,30432.5700430896,30706.463173477405,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Finland,72892.43304843304,73262.68615681134,73634.81994550898,74008.84396733831,74384.76782363465,74762.60116450282,72637.60856609589,70489.09946932796,68316.88979910487,66120.79421707742,63900.626113557344,61656.19759938381,61969.376867206985,62284.146911912496,62600.51581376412,62918.49169406887,63238.0827153855,63559.297081734025,63882.14303880633,64206.62887417786,64532.76291752033,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,France,748566.0206091139,746418.689173579,744277.5175585102,776271.1485114176,774044.3423329311,771823.9239556222,743956.2125536379,716242.0322036818,688680.7313880571,661271.6610635649,634014.1746526697,606907.628034692,605166.6569082115,603430.6799197567,601699.682743177,599973.6510934175,598252.5707264015,596536.427438913,594825.2070684786,593118.8954932519,591417.478631896,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Germany,466154.09762919554,470165.1408394042,474210.69724539085,495730.4271597193,499995.9611839091,504298.19818115584,491682.8721649946,478813.1105907833,465685.46887050546,452296.4619758723,438642.5639974145,424720.2076989783,428374.73120095656,432060.7002093752,435778.3852984621,439528.059370613,443309.99767642416,447124.4778348975,450971.7798538199,454852.1861503173,458765.98157158616,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Greece,107650.43394946583,100991.36447302441,94744.21350601407,104337.93848765432,97883.7742457887,91828.8534302814,83276.86354949481,75431.51815064231,68238.1173476176,61646.024598289274,55608.373307781745,50081.794181618476,46983.82109665358,44077.48326342033,41350.92645701131,38793.02973434952,36393.36007464377,34142.12982570704,32030.156782571958,30048.826735573886,28190.05833514488,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Hungary,197459.5845901922,199582.91101683557,201729.07004045544,213945.51406068294,216246.11731987473,218571.45947288928,213557.74632442006,208410.93225128946,203128.73447076633,197708.83649628045,192148.8876765355,186446.5027286062,188451.4030590739,190477.86252460862,192526.11295534077,194596.38867432106,196688.9265243277,198803.96589496135,200941.74875003198,203102.51965523965,205286.52580615328,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Ireland,29302.999999999996,30008.673339369536,30731.340667815177,31471.41123370809,32229.304140917684,33005.4485861512,32673.607965275296,32306.643418833108,31903.05568941733,31461.29367931918,30979.752823177107,30456.773412310256,31190.231863673136,31941.35342375055,32710.5634546184,33498.29756190023,34305.001841451834,35131.13313198643,35977.159273783676,36843.55937362877,37730.82407613187,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Italy,423593.41136961395,421095.21525749605,418611.7525752361,416142.936430554,413688.68044362846,411248.8987440741,395196.05576900573,379318.25610439427,363613.99341991835,348081.77306444943,332720.1119806846,317527.538620382,315654.87950628734,313793.264637907,311942.628880395,310102.90748304577,308274.03607703006,306455.95067314146,304648.5876595582,302851.88379961747,301065.77622960246,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Latvia,67609.07335459553,69064.27615469506,70550.80041927187,72069.32030462702,73620.52447745323,75205.1164271535,74263.0209587189,73245.53007282014,72149.8346282274,70973.03948570514,69712.16110740748,68364.12509277365,69835.57946014221,71338.70508714156,72874.18365898664,74442.71153333469,76045.0000560918,77681.77588401655,79353.78131426759,81061.77462104405,82806.53039947186,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Lithuania,117251.67769533616,118306.94279459419,119371.70527974553,120446.05062726322,121530.06508290856,122623.83566865476,119603.20185001688,116518.26409195435,113368.10959489686,110151.81433750087,106868.44294859462,103517.04857772663,104448.70201492618,105388.74033306054,106337.23899605806,107294.27414702259,108259.92261434576,109234.26191787487,110217.37027513575,111209.32660761195,112210.21054708045,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Luxembourg,1045.7659574468084,1080.9331034084487,1117.282854470475,1295.5491803278687,1339.1160671639136,1384.1480266173517,1383.0045154523,1380.2188313403874,1375.681821035149,1369.2788471049091,1360.8895425230926,1350.3875549549962,1395.7985533831982,1442.7366384397387,1491.2531631811712,1541.4012075709377,1593.2356365520056,1646.8131600723775,1702.1923951291471,1759.4339298989812,1818.6003900251865,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Malta,380.98823529411766,375.7048400614309,370.49471287903765,368.968671679198,363.85195903463114,358.80620295168205,342.03607211819843,325.6620622503775,309.6764119210154,294.07149878952356,278.839837236936,263.974076039762,260.3133872160646,256.7034633874188,253.143600564809,249.63310452186215,246.1712906594645,242.75748387225357,239.3910184169632,236.0712377825932,232.79749456238022,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Poland,561344.9877335237,567782.6079998486,574294.0562250918,580880.1790835357,587541.8329592978,594279.8840576856,581058.7015672342,567456.1130248269,553465.1091904633,539078.5702197526,524289.2640488979,509089.8447571866,514928.1922504482,520833.49511868565,526806.5212199688,532848.0472183229,538958.8586847162,545139.7501992069,551391.525454262,557714.9973592595,564110.9881461901,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Portugal,111204.18654170829,113828.97197064658,116515.71098930325,115072.03147227534,117788.110793385,120568.298541053,119300.3042893203,117905.28186524981,116377.94112092273,114712.81294793598,112904.24377651142,110946.38991462825,113565.0904932436,116245.60103904865,118989.380471049,121797.92214354855,124672.7546589363,127615.44269965713,130627.58787982025,133710.8296169082,136866.84602406097,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Romania,504193.5939377986,504683.16951058566,505173.22046474286,507051.62435300206,507543.97509368986,508036.8039104555,491579.10755859717,475088.97112089675,458566.347115464,442011.1879987842,425423.4461656435,408803.07394905423,409200.02464714355,409597.36078718945,409995.0827434591,410393.19089058245,410791.6856035537,411190.56725773116,411589.8362288373,411989.49289295974,412389.53762655135,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Slovakia,61159.60978094753,61100.686237381335,61041.819463045664,62967.12100456621,62906.456034481555,62845.84951138538,60692.45799966863,58543.15747557412,56397.94205507807,54256.805861697234,52119.74302647979,49986.74768799621,49938.588513736024,49890.47573789486,49842.4093157707,49794.38920270456,49746.41535408051,49698.487725325576,49650.60627190974,49602.77094934589,49554.98171318977,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Slovenia,11147.20284255554,11454.612649326711,11770.499989936086,12095.098651915469,12428.648870026616,12771.397504058443,12686.144947476516,12586.477573055306,12471.665172381543,12340.94822526276,12193.536838376707,12028.609647674217,12360.326278271532,12701.190759388393,13051.45536408381,13411.37932242776,13781.229013356793,14161.278161820484,14551.808041364688,14953.10768230148,15365.474085619837,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Spain,774775.8666258594,768270.869857378,761820.4888620262,755424.2650872822,749081.7438306174,742792.4742071746,712004.1421471218,681680.4448690343,651815.7505932712,622404.489355526,593441.1523658243,564920.2913739257,560177.2362167734,555474.0036196661,550810.2592334893,546185.671516316,541599.9117098349,537052.6538159805,532543.5745737584,528072.3534362642,523638.67254789703,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Sweden,76665.83602653512,77296.51694576358,77932.38607453223,78577.98201887128,79224.39294320565,79876.12147779627,77848.77098832233,75782.6596015557,73677.28679210585,71532.14642264352,69346.72668544127,67120.51004333165,67672.66765573362,68229.36751652935,68790.64699189838,69356.54375540794,69927.09579054169,70502.34139324914,71082.31917451619,71667.06806295665,72256.62730742521,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,The Netherlands,36369.93085106383,36741.8047379433,37117.48094680981,37181.022547468354,37561.189653903086,37945.243878521025,37055.45080064113,36143.49486358001,35209.0158715087,34251.64857979791,33271.02262942939,32266.762480593865,32596.68244744264,32929.97576743121,33266.676932292605,33606.82078642954,33950.44253052053,34297.5777251626,34648.26229455142,35002.532530199045,35360.42509468957,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,Non-EU Europe,Non-EU Europe,7153671.329213524,7244509.242957965,7338596.774142375,7422611.9074912695,7521100.313271095,7621368.223578942,7466014.630072424,7305602.561281567,7139983.478541168,6969000.917024009,6792490.769594924,6610281.567042115,6701420.623492998,6794230.954101936,6888732.148847712,6984940.411011438,7082868.179038608,7182523.697332527,7283910.531786537,7387027.025312458,7491865.688039226,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,North America,North America,11072806.354627138,11214900.311479338,11356885.761038017,11483185.609795902,11631775.80023067,11783008.932687182,11539057.219111599,11287437.716418268,11027929.252931844,10760298.769844376,10484301.780953858,10199682.825822366,10336879.232350195,10476551.011461977,10618725.489759034,10763424.73754282,10910664.996182099,11060456.028117986,11212800.383249287,11367692.5746124,11525118.155393057,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,Latin America,Latin America,15839033.44161665,16044400.374154646,16234468.29056502,16401824.62934845,16600722.876886077,16803069.102005884,16441990.60720142,16070571.901474375,15688523.338184983,15295539.295702972,14891298.894587735,14475466.702191098,14658462.725766925,14844672.821367381,15034127.9372212,15226851.475984162,15422858.514383385,15622154.9172965,15824736.338021906,16030587.095381819,16239678.91712433,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,Asia-Pacific,Asia-Pacific,43110073.68966,43881295.585397065,44431403.02609161,44919977.001037374,45495575.18778043,46081326.071838036,45121584.138383366,44132065.4338421,43111918.90994022,42060247.52816899,40976110.11006599,39858523.16527751,40389352.43950326,40929672.48437511,41479583.32394893,42039164.08998571,42608470.782711886,43187533.731607296,43776354.732135355,44374903.83114944,44983115.73034656,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,Africa & Middle East,Africa & Middle East,34406841.38204116,34901770.44462453,35451247.072654665,35954969.25429591,36531794.04235063,37120506.80086041,36464067.38262378,35779291.54765303,35065217.344101325,34320832.2372135,33545073.70855728,32736829.840568032,33281676.45183527,33838031.12585078,34406102.38585847,34986084.94967551,35578157.663485214,36182481.14203312,36799195.08773268,37428415.25769128,38070230.043899946,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,EU Total,4907809.259743203,4909859.521533753,4912736.858994488,5001262.346169603,5004802.0765747,5009168.80934895,4847196.9647537945,4685614.720970458,4524327.468955071,4363244.216515719,4202277.27848031,4041341.987280046,4049067.57129801,4057353.990543938,4066193.17195466,4075577.8715897794,4085501.630999555,4095958.736441722,4106944.180774641,4118453.627864927,4130483.3793578073,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,Rest of the world,Rest of the world,111582426.19715847,113286875.95861354,114812600.92449169,116182568.4019689,117780968.22051889,119409279.13097045,117032713.97739258,114574969.16066933,112033572.32369955,109405918.74795383,106689275.26375979,103880784.10090113,105367791.47294866,106883158.39715718,108427271.28563535,110000465.66419965,111603020.13580118,113235149.51638743,114896997.07292575,116588625.7841474,118310008.53480312,addressable_market
1,Robotics & Smart Machines,Weeding robots,Hardware,EU Europe,Austria,56093.23271348619,55154.752160181895,54231.973068646235,56513.107482185274,55567.60211882484,54637.9157474111,51932.99091455409,49303.28270513358,46747.03141663045,44262.51517430176,41848.049157979374,39501.98484415236,38841.0879266487,38191.248294931815,37552.28095257374,36924.003998271255,36306.23857406214,35698.80881440787,35101.54179612824,34514.267489173486,33936.8187082202,addressable_market
1,Robotics & Smart Machines,Weeding robots,Hardware,EU Europe,Belgium,32712.262916666667,33227.7030939895,33751.264952685306,34283.07646436211,34823.26761704938,35371.970446970285,34731.67510178764,34062.4197372863,33363.45068991598,32633.99773558149,31873.27375487766,31080.474391886044,31570.20282408414,32067.647803149554,32572.930917071946,33086.175669677104,33607.50751081438,34137.053867019735,34674.94417266198,35221.30990157981,35776.28459921719,addressable_market
1,Robotics & Smart Machines,Weeding robots,Hardware,EU Europe,Bulgaria,173337.92944854603,171239.5165379882,169166.5068196642,167118.59276488298,165095.4705678674,163096.84010068464,155751.65803976572,148560.4138355937,141520.45683172182,134629.17798885243,127884.00926567189,121282.42300857752,119814.18923496203,118363.72976334768,116930.82941968163,115515.27563478811,114116.85841283415,112735.37030017686,111370.60635458794,110022.36411485072,108690.44357072517,addressable_market
1,Robotics & Smart Machines,Weeding robots,Hardware,EU Europe,Croatia,43319.00034739109,43803.12026316488,44292.65055523935,45845.283301552714,46357.636183950424,46875.714965659834,45819.59751632987,44734.019778712405,43618.455179443125,42472.36905498814,41295.21853658444,40086.45243361897,40534.44638131408,40987.44697252556,41445.510159972066,41908.692521682664,42377.05126798528,42850.644248572935,43329.52995964915,43813.76755115319,44303.416834065916,addressable_market
1,Robotics & Smart Machines,Weeding robots,Hardware,EU Europe,Cyprus,4759.355947136563,4814.473674172214,4870.22971527122,4546.447220487195,4599.099268298743,4652.361075336406,4549.365046401384,4443.35947548663,4334.288469648668,4222.095244993418,4106.722113536386,3988.1104698779736,4034.296463678038,4081.0173338410855,4128.279274728222,4176.088552436963,4224.451505632008,4273.374546385632,4322.8641610278155,4372.92691100622,4423.56943375611,addressable_market
1,Robotics & Smart Machines,Weeding robots,Hardware,EU Europe,Czechia,118756.42891732966,118893.44632418401,119030.6218173832,123247.14862827856,123389.34728532132,123531.71000667136,119551.76241556686,115562.46650636847,111563.8060055215,107555.76461436375,103538.32600908933,99511.47384071199,99626.28702785655,99741.2326828205,99856.310958441,99971.52200773155,100086.86598388222,100202.34304025983,100317.95333040811,100433.69700804792,100549.57422707761,addressable_market
