Tech #,Technology,Technology subcategory,Technology type,Unit,Region,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Indicator
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Austria,2721216.7849999997,2723722.246,2725887.9464473454,2728055.3688978925,2730224.514720849,2732395.385286513,2734567.9819662697,2736742.306132597,2738918.359159063,2741096.1424203273,2743275.657292145,2745456.905151362,2747639.887375921,2749824.6053448594,2752011.060438312,2754199.2540375106,2756389.187524784,2758580.8622835623,2760774.279698374,2762969.4411548492,2765166.348039719,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Belgium,553909.0726000001,553909.0726000001,554765.3087812233,555622.8685378025,556481.7539157292,557341.9669641572,558203.5097354082,559066.3842849759,559930.5926715321,560796.1369569303,561663.0192062114,562531.2414876088,563400.8058725523,564271.7144356745,565143.9692548143,566017.5724110231,566892.525988569,567768.8320749416,568646.4927608579,569525.5101402666,570405.886310353,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Bulgaria,991936.4,995248.8,1002197.9132449218,1009195.5471963149,1016242.0406397012,1023337.7347261002,1030482.9729885462,1037678.1013587196,1044923.4681836956,1052219.4242428085,1059566.322764635,1066964.5194440954,1074414.3724596738,1081916.2424907594,1089470.4927351086,1097077.48892643,1104737.5993520885,1112451.1948709385,1120218.6489312768,1128040.3375889238,1135916.6395254298,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Cyprus,128838.5028,128823.5676,128855.65937195202,128887.75913841816,128919.86690138992,128951.98266285937,128984.10642481905,129016.23818926199,129048.37795818172,129080.52573357229,129112.68151742817,129144.84531174442,129177.01711851658,129209.19693974062,129241.3847774131,129273.58063353098,129305.78451009179,129337.99640909355,129370.21633253476,129402.4442824144,129434.68026073198,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Czechia,1955169.84806,1956491.7526,1957950.7573129102,1959410.850042036,1960872.0315987384,1962334.3027949827,1963797.6644433409,1965262.11735699,1966727.662349714,1968194.300235903,1969662.0318305553,1971130.8579492762,1972600.77940828,1974071.7970243897,1975543.911615036,1977017.123998261,1978491.4349927155,1979966.8454176618,1981443.356092972,1982920.9678391307,1984399.681477234,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Germany,9062255.428000001,9062255.428000001,9064719.198888179,9067183.639605967,9069648.750335468,9072114.53125884,9074580.982558291,9077048.104416078,9079515.897014504,9081984.360535927,9084453.49516275,9086923.301077427,9089393.778462468,9091864.92750042,9094336.748373888,9096809.241265526,9099282.406358037,9101756.243834173,9104230.753876738,9106705.93666858,9109181.792392604,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Denmark,556290.06048,557122.14096,559682.6977279314,562255.0229223528,564839.1706314468,567435.1951919874,570043.1511904829,572663.0934643237,575295.0771029347,577939.1574489343,580595.390099298,583263.8309065271,585944.5359798237,588637.5616862698,591342.9646520133,594060.8017634574,596791.1301684587,599534.007277527,602289.4907650335,605057.6385704231,607838.508899433,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Spain,14650322.00544,14653706.09472,14711858.05672193,14770240.789742658,14828855.209576964,14887702.235653881,14946782.791051108,15006097.802509505,15065648.200447619,15125434.91897629,15185458.895913284,15245721.072798025,15306222.394906353,15366963.811265344,15427946.274668217,15489170.741689268,15550638.172698868,15612349.531878531,15674305.787236065,15736507.9106207,15798956.877738394,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Estonia,1359544.5503999998,1359544.5503999998,1365082.144077415,1370642.2930611107,1376225.0892216482,1381830.62480379,1387458.9924280217,1393110.2850920847,1398784.5961725109,1404482.019426167,1410202.6489918032,1415946.5793916075,1421713.9055327699,1427504.7227090476,1433319.1266023426,1439157.2132842806,1445019.0792177983,1450904.821258739,1456814.5366574507,1462748.323060395,1468706.2785117598,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Finland,18032970.48,18032970.48,18031567.636365935,18030164.90186366,18028762.276484676,18027359.760220505,18025957.353062645,18024555.05500262,18023152.866031937,18021750.78614211,18020348.815324653,18018946.953571085,18017545.200872917,18016143.557221666,18014742.02260885,18013340.597025987,18011939.280464593,18010538.072916187,18009136.97437229,18007735.984824426,18006335.10426411,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,France,14621054.850000001,14691732.180000002,14779964.654564478,14868727.016923828,14958022.44936526,15047854.153287489,15138225.349315504,15229139.277416036,15320599.197013715,15412608.387107939,15505170.146390412,15598287.79336342,15691964.666458808,15786204.124157662,15881009.545110708,15976384.32825947,16072331.892958095,16168855.679095965,16265959.147221023,16363645.77866382,16461919.07566235,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Greece,3334322.208,3334322.208,3347118.8005963448,3359964.5044578467,3372859.508065646,3385804.000624244,3398798.1720642773,3411842.2130453065,3424936.314958613,3438080.669930006,3451275.4708226444,3464520.911239864,3477817.185528018,3491164.488779333,3504563.0168347633,3518012.966286875,3531514.5344827194,3545067.9195267376,3558673.3202836625,3572330.936381438,3586040.968214148,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Croatia,1436647.8168,1438500.0167999999,1440528.3402622398,1442559.5237147612,1444593.5711902264,1446630.4867269841,1448670.2743690778,1450712.9381662528,1452758.4821739641,1454806.910453386,1456858.2270714182,1458912.4361006957,1460969.5416195958,1463029.547712246,1465092.4584685327,1467158.2779841095,1469227.0103604044,1471298.6597046293,1473373.2301297863,1475450.725754678,1477531.1507039142,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Hungary,1575759.0833599998,1574643.6232911998,1579575.0520744305,1584521.9249806895,1589484.290377488,1594462.196783813,1599455.6928706025,1604464.8274612203,1609489.6495319349,1614530.208212396,1619586.5527861172,1624658.7326909578,1629746.7975196033,1634850.7970200537,1639970.7810961085,1645106.799807854,1650258.9033721539,1655427.1421631398,1660611.566712703,1665812.2277109905,1671029.1760068987,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Ireland,619061.10836,622227.58036,628801.1142563894,635444.0943638614,642157.2543480984,648941.3356256067,655797.0874456002,662725.2669727484,669726.6393708003,676801.9778870902,683952.0639379371,691177.687194946,698479.6456722211,705858.7458145001,713315.8025862202,720851.6395615243,728467.0890152177,736162.9920146881,743940.1985127933,751799.5674417327,759741.9668079098,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Italy,7927184.079360001,7971774.919680001,8024820.1019706875,8078218.253505063,8131971.722984397,8186082.874738509,8240554.088829763,8295387.761157757,8350586.3035646975,8406152.143941497,8462087.72633455,8518395.51105324,8575077.97477816,8632137.610670041,8689576.928479416,8747398.454657007,8805604.732464857,8864198.322088195,8923181.800748032,8982557.762814537,9042328.819921132,addressable_market
