Tech #,Technology,Technology subcategory,Technology type,Unit,Region,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Indicator
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Austria,2721216.7849999997,2723722.246,2725887.9464473454,2728055.3688978925,2730224.514720849,2732395.385286513,2734567.9819662697,2681029.1825612737,2554426.5696586804,2353208.609118472,2226605.9962158785,2173067.1968108825,2174795.057501214,2176524.2920572823,2178254.901571483,2179986.887137079,2181720.2498482047,2183454.9907998634,2185191.111087928,2186928.6118091443,2188667.49406113,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Belgium,553909.0726000001,553909.0726000001,554765.3087812233,555622.8685378025,556481.7539157292,557341.9669641572,558203.5097354082,544092.2334989127,510723.4530483764,457688.2289401911,424319.4484896548,410208.1722531593,410842.274665073,411477.3572765441,412113.4216027709,412750.4691612947,413388.50147200207,414027.5200571292,414667.52644126554,415308.52215135697,415950.5087167099,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Bulgaria,991936.4,995248.8,1002197.9132449218,1009195.5471963149,1016242.0406397012,1023337.7347261002,1030482.9729885462,995247.6122720782,911926.9404817806,779499.8502021906,696179.1784118928,660943.8176954249,665558.7174448108,670205.8397509806,674885.4096010899,679597.6535532187,684342.7997473407,689121.0779163685,693932.719397276,698777.9571422985,703657.0257302104,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Cyprus,128838.5028,128823.5676,128855.65937195202,128887.75913841816,128919.86690138992,128951.98266285937,128984.10642481905,124537.61486750879,114023.04495445483,97311.53904351474,86796.96913046078,82350.47757315052,82370.99224135648,82391.51202005628,82412.03691052308,82432.56691403026,82453.10203185157,82473.64226526103,82494.18761553304,82514.73808394225,82535.29367176368,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Czechia,1955169.84806,1956491.7526,1957950.7573129102,1959410.850042036,1960872.0315987384,1962334.3027949827,1963797.6644433409,1889389.8629023263,1713438.549086518,1433787.4130738121,1257836.0992580035,1183428.297716989,1184310.809724242,1185193.9798427164,1186077.8085631826,1186962.2963767769,1187847.443775001,1188733.2512497236,1189619.7192931804,1190506.8483979737,1191394.639057074,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Germany,9062255.428000001,9062255.428000001,9064719.198888179,9067183.639605967,9069648.750335468,9072114.53125884,9074580.982558291,8823260.758061709,8228966.574214835,7284415.266047277,6690121.0822004005,6438800.857703819,6440551.385509402,6442302.389233972,6444053.8690069225,6445805.824957673,6447558.257215687,6449311.165910458,6451064.551171514,6452818.413128421,6454572.751910779,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Denmark,556290.06048,557122.14096,559682.6977279314,562255.0229223528,564839.1706314468,567435.1951919874,570043.1511904829,560253.8916169582,537105.3366593677,500313.79728092684,477165.2423233364,467375.98274981166,469524.0624038287,471682.0147221896,473849.88508007437,476027.71906120924,478215.56245882553,480413.4612766218,482621.46172973164,484839.61024569557,487067.95346543664,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Spain,14650322.00544,14653706.09472,14711858.05672193,14770240.789742658,14828855.209576964,14887702.235653881,14946782.791051108,14539749.424449353,13577242.077945188,12047465.078654142,11084957.732149977,10677924.365548221,10720298.782501254,10762841.358653642,10805552.76133059,10848433.66050552,10891484.72881059,10934706.641547231,10978100.076696763,11021665.714931002,11065404.239622965,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Estonia,1359544.5503999998,1359544.5503999998,1365082.144077415,1370642.2930611107,1376225.0892216482,1381830.62480379,1387458.9924280217,1349942.3257226755,1261227.0746322793,1120226.0203573853,1031510.7692669888,993994.1025616426,998042.7638990838,1002107.9159366036,1006189.6258428699,1010287.9610601373,1014402.9893053605,1018534.778571314,1022683.3971277155,1026848.9135223535,1031031.3965822202,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Finland,18032970.48,18032970.48,18031567.636365935,18030164.90186366,18028762.276484676,18027359.760220505,18025957.353062645,17691043.734768216,16899077.16764381,15640351.981810478,14848385.414686074,14513471.796391644,14512342.746047977,14511213.783536829,14510084.908851355,14508956.121984726,14507827.422930116,14506698.811680686,14505570.288229609,14504441.852570057,14503313.5046952,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,France,14621054.850000001,14691732.180000002,14779964.654564478,14868727.016923828,14958022.44936526,15047854.153287489,15138225.349315504,14905848.749659184,14356350.34810996,13482995.958774332,12933497.557225108,12701120.957568789,12777398.643419515,12854134.421542421,12931331.04305047,13008991.275578663,13087117.90338328,13165713.727441689,13244781.565552773,13324324.252437951,13404344.63984281,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Greece,3334322.208,3334322.208,3347118.8005963448,3359964.5044578467,3372859.508065646,3385804.000624244,3398798.1720642773,3358162.891006442,3262073.0866939235,3109351.164063869,3013261.3597513507,2972626.078693515,2984034.5396931884,2995486.784532111,3006982.9812456206,3018523.298513946,3030107.9056646824,3041736.9726752797,3053410.670175532,3065129.1694500833,3076892.642440941,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Croatia,1436647.8168,1438500.0167999999,1440528.3402622398,1442559.5237147612,1444593.5711902264,1446630.4867269841,1448670.2743690778,1397314.418359921,1275873.787810371,1082860.1094536837,961419.4789041334,910063.6228949769,911346.8369213176,912631.8603137246,913918.6956234525,915207.3454053529,916497.81221788,917790.0986230959,919084.2071866743,920380.140477908,921677.9010697111,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Hungary,1575759.0833599998,1574643.6232911998,1579575.0520744305,1584521.9249806895,1589484.290377488,1594462.196783813,1599455.6928706025,1553355.1193940998,1444341.597923751,1271079.1512912577,1162065.6298209087,1115965.056344406,1119460.007277134,1122965.903608155,1126482.7796159878,1130010.6696865046,1133549.6083132664,1137099.6300978607,1140660.769750238,1144233.0620890537,1147816.542042007,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Ireland,619061.10836,622227.58036,628801.1142563894,635444.0943638614,642157.2543480984,648941.3356256067,655797.0874456002,639688.7946207236,601597.6909035346,541056.9640656505,502965.86034846155,486857.56752358493,492000.9826081081,497198.7353891085,502451.3999181082,507759.55631120654,513123.7908131492,518544.69586207444,524022.8701549436,529558.918713662,535153.4529518994,addressable_market
