Tech #,Technology,Technology subcategory,Technology type,Unit,Region,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Indicator
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Austria,2721216.7849999997,2723722.246,2725887.9464473454,2728055.3688978925,2730224.514720849,2732395.385286513,2734567.9819662697,2715119.148836137,2669128.7060255795,2596033.0337127065,2550042.590902149,2530593.7577720163,2532605.896873683,2534619.635878042,2536634.9760572156,2538651.9186843378,2540670.4650335563,2542690.616380031,2544712.3739999365,2546735.7391704605,2548760.713169807,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Belgium,553909.0726000001,553909.0726000001,554765.3087812233,555622.8685378025,556481.7539157292,557341.9669641572,558203.5097354082,553702.9852587963,543060.6442929286,526146.0633421154,515503.7223762478,511003.1978996358,511793.1099057863,512584.2429629597,513376.5989586642,514170.1797833263,514964.98733029433,515761.0234958434,516558.2901791799,517356.7892824463,518156.522710725,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Bulgaria,991936.4,995248.8,1002197.9132449218,1009195.5471963149,1016242.0406397012,1023337.7347261002,1030482.9729885462,1022259.8697700332,1002814.7876015614,971909.4240646568,952464.341896185,944241.238677672,950834.2024653163,957473.200221532,964158.553368722,970890.5855735528,977669.6227626248,984495.9931382507,991370.0271943476,998292.0577324348,1005262.4198777485,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Cyprus,128838.5028,128823.5676,128855.65937195202,128887.75913841816,128919.86690138992,128951.98266285937,128984.10642481905,127630.85244101794,124430.82755861318,119344.81498941909,116144.79010701433,114791.53612321321,114820.13231774441,114848.7356359919,114877.3460797304,114905.96365073489,114934.58835078093,114963.22018164441,114991.85914510177,115020.50524292981,115049.1584769058,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Czechia,1955169.84806,1956491.7526,1957950.7573129102,1959410.850042036,1960872.0315987384,1962334.3027949827,1963797.6644433409,1942115.6711288737,1890844.4988752063,1809355.811723653,1758084.6394699856,1736402.6461555185,1737697.5249306958,1738993.3693292818,1740290.1800713663,1741587.9578775757,1742886.7034690736,1744186.4175675618,1745487.1008952803,1746788.7541750069,1748091.37813006,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Germany,9062255.428000001,9062255.428000001,9064719.198888179,9067183.639605967,9069648.750335468,9072114.53125884,9074580.982558291,8992563.071241654,8798616.214141786,8490363.563236035,8296416.706136165,8214398.794819529,8216632.057474215,8218865.927289838,8221100.404431472,8223335.489064228,8225571.181353267,8227807.481463797,8230044.389561062,8232281.905810358,8234520.030377026,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Denmark,556290.06048,557122.14096,559682.6977279314,562255.0229223528,564839.1706314468,567435.1951919874,570043.1511904829,567057.2612154617,559996.5598759005,548774.5172106111,541713.81587105,538727.9258960288,541203.9420786737,543691.3381357265,546190.1663695682,548700.4793229635,551222.3297801659,553755.7707680282,556300.8555571156,558857.6376628282,561426.1708465246,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Spain,14650322.00544,14653706.09472,14711858.05672193,14770240.789742658,14828855.209576964,14887702.235653881,14946782.791051108,14833155.98904828,14564463.934142368,14137413.764623968,13868721.709718056,13755094.907715227,13809680.80914085,13864483.32998309,13919503.32987732,13974741.671870299,14030199.222433716,14085876.851477778,14141775.432364842,14197895.841923147,14254238.960460538,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Estonia,1359544.5503999998,1359544.5503999998,1365082.144077415,1370642.2930611107,1376225.0892216482,1381830.62480379,1387458.9924280217,1377024.3433307097,1352349.6428308308,1313132.4987475083,1288457.7982476293,1278023.1491503173,1283228.696043387,1288455.4457749766,1293703.484706879,1298972.8995526482,1304263.7773790353,1309576.205607423,1314910.2720152738,1320266.0647375772,1325643.6722683094,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Finland,18032970.48,18032970.48,18031567.636365935,18030164.90186366,18028762.276484676,18027359.760220505,18025957.353062645,17895610.70568032,17587381.415425524,17097492.085798938,16789262.795544144,16658916.148161817,16657620.196699204,16656324.346052883,16655028.596215012,16653732.947177757,16652437.398933262,16651141.951473698,16649846.60479122,16648551.358877987,16647256.213726165,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,France,14621054.850000001,14691732.180000002,14779964.654564478,14868727.016923828,14958022.44936526,15047854.153287489,15138225.349315504,15072939.92768492,14918560.205787228,14673194.236816922,14518814.51491923,14453529.093288647,14540331.01851204,14627654.240241904,14715501.889169713,14803877.114788594,14892783.085506216,14982222.988758398,15072200.031123383,15162717.438436804,15253778.455907324,addressable_market
1,Field Survey Technologies,Sensors,Hardware,Units,EU Europe,Greece,3334322.208,3334322.208,3347118.8005963448,3359964.5044578467,3372859.508065646,3385804.000624244,3398798.1720642773,3383869.93592349,3348569.2993299426,3292463.647651255,3257163.0110577075,3242234.7749169203,3254677.9507494085,3267168.88149033,3279707.750415348,3292294.7415035046,3304930.0394399264,3317613.8296185313,3330346.2981447484,3343127.631838251,3355958.0182356946,addressable_market
