Tech #,Technology,Subseg#,Subsegment (Data model),Technology type,Region,Country,Paramater,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Indicator
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Austria,Unit,77983.0,78054.8,78116.86334567546,78178.97603948682,78241.138120672,78303.34962850016,78561.52462877735,78820.06068672474,79078.95821329004,79338.21761984614,79597.83931819162,79857.82372055114,79921.32069598968,79984.86815947937,80048.46615116455,80112.11471122147,80175.81387985831,80239.56369731524,80303.36420386443,80367.21543981004,80431.11744548831,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Belgium,Unit,13786.0,13786.0,13807.310486825816,13828.653915538242,13850.030337059048,13871.439802388735,13927.614568513147,13983.929859215383,14040.385974712439,14096.983215813683,14153.721883921964,14210.602281034735,14232.56912077773,14254.569917001862,14276.604722197275,14298.673588935253,14320.776569868352,14342.913717730504,14365.085085337172,14387.290725585453,14409.530691454218,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Bulgaria,Unit,77860.0,78120.0,78665.45629865948,79214.72113000903,79767.82108631877,80324.78294553376,81087.84775675177,81857.65242272473,82634.25386146572,83417.70945723992,84208.07706430087,85005.41501065595,85598.94725640258,86196.62371492312,86798.47332230261,87404.52521666612,88014.80873958947,88629.35343751982,89248.18906320611,89871.34557713952,90498.85314900402,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Cyprus,Unit,3450.6,3450.2,3451.0594935977297,3451.9192013074658,3452.7791231825463,3453.6392592763236,3463.1358586662677,3472.636975205107,3482.1426105540763,3491.652766374953,3501.1674443300662,3510.686646082291,3511.5612077586993,3512.4359873007857,3513.3109847628225,3514.186200199098,3515.0616336639127,3515.9372852115794,3516.8131548964266,3517.689242772795,3518.565548895039,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Czechia,Unit,53541.8,53578.0,53617.95445133077,53657.938697692734,53697.95276130479,53737.996664402395,53912.5156053107,54087.264948469456,54262.244940461125,54437.45582810775,54612.897858471246,54788.57127885366,54829.42848338991,54870.31615616294,54911.23431989368,54952.182997319986,54993.162211196686,55034.171984295586,55075.212339405436,55116.28329933202,55157.38488689811,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Germany,Unit,228380.0,228380.0,228442.09006134432,228504.19700321986,228566.32083021596,228628.46154692318,229262.3457058282,229896.5576361788,230531.09746934555,231165.96533674604,231801.16136984527,232436.68570015545,232499.8786595818,232563.0887993862,232626.3161242394,232689.5606388136,232752.82234778217,232816.10125581987,232879.3973676025,232942.71068780735,233006.04122111286,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Denmark,Unit,12568.8,12587.6,12645.453138481402,12703.572172418026,12761.958323876555,12820.612820540344,12911.735737974566,13003.425447397743,13095.68523396521,13188.518401057026,13281.928270376124,13375.918182046944,13437.39446401506,13499.153293558094,13561.195969276572,13623.523795739438,13686.138083511498,13749.040149180966,13812.231315387146,13875.712910848255,13939.48627038935,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Spain,Unit,371443.4,371529.2,373003.581414596,374483.813783991,375969.9203271917,377461.9243553477,379907.24889529665,382366.03716690117,384838.35751975013,387324.27863388025,389823.8695213226,392337.1995276559,393894.15568409866,395457.29048604314,397026.6284529086,398602.1942014169,400184.0124459796,401772.107999085,403366.5057716878,404967.23077359964,406574.30811388145,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Estonia,Unit,48768.0,48768.0,48966.63811625793,49166.08531021496,49366.34487734499,49567.42012654478,49893.73766613907,50221.89112905412,50551.890057458084,50883.74404079336,51217.46271600344,51553.05576776079,51763.03776179474,51973.8750385498,52185.57108169862,52398.12938910333,52611.55347287323,52825.84685942291,53041.01308953047,53257.05571839603,53473.97831570054,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Finland,Unit,448180.0,448180.0,448145.1346149204,448110.2719421329,448075.4119814265,448040.55473259033,449125.71444590174,450210.70261153276,451295.5192496068,452380.1643802449,453464.6380235663,454548.94019968814,454513.57935396186,454478.22125907126,454442.86591480224,454407.5133209408,454372.1634772731,454336.8163835851,454301.4720396628,454266.13044529257,454230.7916002603,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,France,Unit,345060.0,346728.0,348810.3051404679,350905.115745444,353012.50691758236,355132.5542105726,358158.4969659282,361207.9762535397,364281.16563788586,367378.23991926404,370499.37514237507,373644.74860496476,375888.70461869583,378146.13690530474,380417.1263977194,382701.7545149179,385000.1031648466,387312.25474735745,389638.2921571617,391978.29878680216,394332.3585296427,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Greece,Unit,78036.0,78036.0,78335.48962264428,78636.12863831321,78937.92145819243,79240.87251039702,79743.84870563653,80249.51844482617,80757.89499440185,81268.99168295512,81782.82190151488,82299.3991038303,82615.25096683529,82932.31501851296,83250.5959110486,83570.09831448177,83890.82691677494,84212.7864238822,84535.98155981832,84860.41706672811,85186.09770495602,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Croatia,Unit,38782.2,38832.2,38886.95443964582,38941.786084514664,38996.69504346794,39051.681425520575,39204.51220319082,39357.69633023118,39511.234499251404,39665.12740411186,39819.37573992579,39973.98020306139,40030.34458330336,40086.78843882759,40143.311881696376,40199.91502412998,40256.59797850692,40313.360857364176,40370.20377339739,40427.12683946113,40484.13016856908,market_potential
1,Remote Sensing Technologies,1.1,Total,Hardware,EU Europe,Hungary,Unit,41060.2,41031.134,41159.63426013713,41288.53695411523,41417.843342266366,41547.554688869655,41781.86644281907,42017.23832103058,42253.67466551209,42491.179835070136,42729.758205372615,42969.414169011536,43103.98468560164,43238.97664670725,43374.39137219752,43510.23018607523,43646.49441648954,43783.18539574916,43920.30446033523,44057.852950914494,44195.8322123523,market_potential
