Question;Answers;Chart name on design;Section;Single value;Map widget;Horizontal bar chart;Pie chart;Area graph;;;;;;;;;;;;;;;;
Overview;;;;;;;;;;;;;;;;;;;;;;;;
Has your organisation integrated digital technologies into its workflows?;Yes/No/Don't know;Adoption of technology by country;Overview;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Location (Country/Region): ;EU Member State;Total countries;Overview;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;
;;Total surveys;Overview;TRUE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;
Sector (Agri/Forestry/Both): ;Agri/Forestry/Both;Organisation by sector;Overview;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Workforce information;;;;;;;;;;;;;;;;;;;;;;;;
What is the size of your agriculture or forestry organisation in terms of workforce?;Small/Medium/Large;Organisation size;Workforce information;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What is the general education level/attainment of your workforce?;Education level;Education level;Workforce information;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
What is the general level of work experience in your organisation?;Experience level;Experience level;Workforce information;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
Have your staff received training on the use of digital technologies?;Yes/No/Don't know;Training on digital technologies;Workforce information;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
;;Type of training;Workforce information;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;
If yes, what percentage of the workforce received this training?;Percentage ranges;Workforce training ;Workforce information;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
Governance model;;;;;;;;;;;;;;;;;;;;;;;;
Have specific governance models either facilitated or hindered the adoption of digital technologies in your organization?;;Governance model impact;Governance model;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What type of governance model do you operate under?;;Governance model type;Governance model;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
Are there regulatory considerations influencing the governance of digital technology adoption?;Yes/No/Don't know;Regulatory considerations;Governance model;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Adoption of Digital Technologies and Technology Integration;;;;;;;;;;;;;;;;;;;;;;;;
Has your organisation integrated digital technologies into its workflows?;Yes/No/Don't know;Digital technologies integrated;Adoption of Digital Technologies and Technology Integration;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What type of digital technology has been used for agriculture?;;Technology type (agriculture);Adoption of Digital Technologies and Technology Integration;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
What type of digital technology has been used for forestry?;;Technology type (forestry);Adoption of Digital Technologies and Technology Integration;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
Were there specific goals or challenges that prompted the adoption of digital tools?;Yes/No/Don't know;Goals or challenges;Adoption of Digital Technologies and Technology Integration;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
How would you rate the level of digitalization in your farming/forestry practices on a scale of 1 to 5 (1 being low, 5 being high);;Level of digitalization;Adoption of Digital Technologies and Technology Integration;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What are the primary functions of these technologies in the agriculture or forestry value chain?;;Primary functions;Adoption of Digital Technologies and Technology Integration;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
What is the adoption level of these technologies?;;Adoption level;Adoption of Digital Technologies and Technology Integration;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Have you encountered challenges in the adoption of digital technologies?;Yes/No/Don't know;Challenges in the adoption;Adoption of Digital Technologies and Technology Integration;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Are there specific barriers hindering further integration?;Yes/No/Don't know;Barriers;Adoption of Digital Technologies and Technology Integration;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Technology Performance;;;;;;;;;;;;;;;;;;;;;;;;
To what extent do digital technologies meet evolving user needs within your organization?;;User needs;Technology Performance;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What are the advantages of the used technologies?;;Advantages;Technology Performance;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
Have you encountered any perceived limitations or challenges in utilising these technologies?;Yes/No/Don't know;Limitations or challenges;Technology Performance;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
Do you have network connectivity? ;Yes/No/Don't know;Network connectivity;Technology Performance;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
What network connectivity do you use? ;;Network connectivity type;Technology Performance;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
How reliable is the current network connectivity? ;;Level of reliability;Technology Performance;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
What type of devices are commonly used to access the network?;;Device type;Technology Performance;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
Associated cost and prerequisites;;;;;;;;;;;;;;;;;;;;;;;;
What are the most significant costs associated with the adoption of digital technologies in your organisation;;Most significant costs;Associated cost and prerequisites;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;
What is the level of direct costs?;;Direct costs;Associated cost and prerequisites;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;
